1,-56690205,2292,2140,0.0,65.15,93.0,0
2,-56690205,2286,2133,0.0,65.15,93.0,0
3,-56690205,2292,2146,0.0,65.15,93.0,0
4,-56690205,2290,2139,0.0,65.15,93.0,0
5,-56690205,2306,2149,0.0,65.15,93.0,0
6,-56690151,2320,2148,0.0,65.15,93.0,0
7,-56690151,2341,2152,0.0,65.15,93.0,0
8,-56690151,2336,2155,0.0,65.15,93.0,0
9,-56690151,2305,2162,0.0,65.15,93.0,0
10,-56690151,2300,2153,0.0,65.15,93.0,0
11,-56690086,2255,2161,0.0,65.15,93.0,0
12,-56690086,2228,2156,0.0,65.15,93.0,0
13,-56690086,2161,2168,0.0,83.33,93.0,0
14,-56690086,2161,2171,0.0,83.33,93.0,0
15,-56690086,2205,2211,0.0,83.33,93.0,0
16,-56690025,2223,2227,0.0,83.33,93.0,0
17,-56690025,2803,2277,0.0,83.33,93.0,0
18,-56690025,6321,19395,0.0,83.33,98.0,0
19,-56690025,50870,14853,0.0,83.33,98.0,0
20,-56690025,52731,16707,0.0,83.33,98.0,0
21,-56689936,52963,17001,0.0,83.33,98.0,0
22,-56689936,51256,16634,0.0,83.33,98.0,0
23,-56689936,51172,16012,0.0,83.33,98.0,0
24,-56689936,52934,16929,0.0,83.33,98.0,0
25,-56689936,53358,17014,0.0,83.33,98.0,0
26,-56689878,53244,17162,0.0,83.33,98.0,0
27,-56689878,52621,16882,0.0,83.33,98.0,0
28,-56689878,53047,16773,0.0,83.33,98.0,0
29,-56689878,52890,16972,0.0,83.33,98.0,0
30,-56689878,51660,16463,0.0,83.33,98.0,0
31,-56689796,53872,16620,0.0,83.33,98.0,0
32,-56689796,54560,17624,0.0,83.33,98.0,0
33,-56689796,54324,17483,0.0,83.33,98.0,0
34,-56689796,53640,17268,0.0,83.33,98.0,0
35,-56689796,52760,16971,0.0,83.33,98.0,0
36,-56689736,51896,16403,0.0,71.34,98.0,0
37,-56689736,52405,16509,0.0,71.34,98.0,0
38,-56689736,51343,16346,0.0,71.34,98.0,0
39,-56689736,51704,16016,0.0,71.34,98.0,0
