ir_led	red_led spo2	bpm
13773	14232	62
13889	13836	62
13807	14262	62
13881	14121	62
13784	14277	62
13896	14158	62
13843	14264	62
13870	14212	62
13885	13932	62
14119	13795	62
14249	13886	62
14245	13857	62
13879	14201	62
13878	13879	62
13889	14290	62
13825	14289	62
13905	14239	62
13799	14174	62
13825	14231	62
13895	14231	62
13948	14313	62
13880	14231	62
13893	14134	62
13826	14170	62
13892	14270	62
13878	15927	62
13859	14221	62
13854	14191	62
13854	14258	62
13847	14237	62
13878	310	62
13786	13905	62
14239	13909	62
14282	13878	62
13938	14237	62
13840	14229	62
13894	14231	62
13837	14228	62
13856	14200	62
13842	14139	62
13790	14134	62
16183	49206	62
19255	12854	62
13815	13854	62
14258	13864	62
13900	14298	62
13830	13786	62
14247	13825	62
14157	13939	62
14134	18487	62
36918	21559	62
13859	14210	62
13827	14134	62
3383	37942	62
20021	58167	62
13864	13790	62
13862	14209	62
13890	13860	62
14175	13854	62
14213	13759	62
14134	14391	62
9526	8503	62
13890	14167	62
13887	14140	62
13767	14309	62
13900	14263	62
13852	14260	62
13853	14134	62
13878	20022	62
20023	26422	62
13928	14253	62
13926	14143	62
13800	14252	62
13849	14217	62
13855	14176	62
13847	14215	62
13901	14230	62
13878	13890	62
14167	13835	62
13877	50999	62
58677	61239	62
48438	12855	62
22325	64055	62
40758	13925	62
14215	13880	62
14197	13853	62
13851	14223	62
13906	13800	62
13890	14299	62
13836	14238	62
13887	14173	62
13907	14153	62
13816	14262	62
13878	2871	62
43574	2615	62
13877	61239	62
48437	62263	62
13888	13818	62
14239	13882	62
13889	14209	62
13868	14244	62
13818	14240	62
13878	21047	62
13816	14134	62
13843	14202	62
13867	14134	62
13903	14201	62
13865	14133	62
63543	46646	62
4407	27190	62
17463	38966	62
13945	14172	62
13878	16439	62
13846	14206	62
13894	13878	62
13920	14263	62
13877	64055	62
41014	4407	62
25654	10295	62
35381	62262	62
4918	8247	62
43574	5687	62
44342	13879	62
13822	14271	62
13830	14299	62
13839	14235	62
13819	14229	62
13791	14235	62
13869	14134	62
5687	32310	62
20791	13853	62
13917	14217	62
13797	14215	62
13930	14299	62
13834	14198	62
13876	14225	62
13885	14222	62
13850	14183	62
13846	14181	62
13878	1591	62
13827	14219	62
13803	13621	62
13861	13621	62
13874	14224	62
13866	14282	62
13850	13878	62
7479	28982	62
13932	13797	62
13887	14192	62
13914	14212	62
13830	14158	62
13878	15670	62
15670	1591	62
31798	11831	62
49974	9783	62
13862	14239	62
13881	14219	62
13875	13878	62
13793	14181	62
13947	14177	62
13622	13850	62
14134	11831	62
37429	59447	62
13899	14216	62
13890	14312	62
13878	1591	62
20022	13878	62
2615	45878	62
13878	11831	62
13920	14296	62
13799	14239	62
13873	14196	62
13794	14228	62
13859	14215	62
13875	13947	62
13820	14133	62
62007	13878	62
11831	37430	62
13111	33589	62
64311	44342	62
5431	54581	62
13923	14243	62
13849	13916	62
14193	13890	62
13953	14212	62
13840	14203	62
13799	14269	62
13843	14177	62
13850	14168	62
13622	13875	62
13833	14194	62
13838	14231	62
13948	14223	62
13877	64311	62
13830	14262	62
13877	62007	62
31798	20791	62
39478	13849	62
14219	13885	62
13874	14134	62
33079	33846	62
13779	13799	62
14269	13894	62
14232	13883	62
13940	14285	62
13879	13833	62
14134	12087	62
28982	8247	62
41526	13879	62
28982	27191	62
30773	13865	62
13813	14329	62
13878	13955	62
14273	13895	62
14274	13844	62
14244	13878	62
5175	51766	62
13893	14250	62
13878	15159	62
13861	14238	62
13892	14211	62
13818	14134	62
12087	28982	62
13891	14272	62
13827	14205	62
13906	14193	62
13853	13813	62
14134	4407	62
33334	16951	62
13900	14218	62
13898	14185	62
13878	13878	62
13622	17719	62
43574	30007	62
43062	23350	62
13878	17463	62
33590	1591	62
13878	5686	62
13879	14204	62
13888	13827	62
14205	13927	62
13878	7479	62
13895	13841	62
14210	13808	62
14134	29239	62
39990	13367	62
13853	14308	62
13879	14242	62
13863	14174	62
13947	13915	62
14181	13908	62
13878	13830	62
14136	13884	62
13788	13878	62
14133	13888	62
14245	13829	62
13917	13833	62
13878	18231	62
42038	21303	62
13915	13878	62
13813	13876	62
14312	13851	62
14213	13891	62
14252	13810	62
13876	14263	62
13799	14232	62
13847	14244	62
13830	14255	62
13848	14210	62
13848	13621	62
13840	14217	62
13924	14248	62
13847	14223	62
13938	14134	62
21303	36406	62
8247	30518	62
13886	14163	62
13878	17207	62
13835	14247	62
13922	14165	62
13877	14192	62
13878	5943	62
13932	14134	62
1591	44853	62
13735	14134	62
13622	4150	62
4151	13889	62
13839	14250	62
13887	13878	62
29239	49462	62
13863	14179	62
13887	14215	62
13867	13869	62
13843	14311	62
13878	25143	62
21813	64311	62
13861	14245	62
13878	27703	62
42294	12855	62
26934	16183	62
13877	65335	62
17718	12855	62
43317	57399	62
40502	16439	62
45878	8247	62
28982	4663	62
13830	14150	62
13946	14232	62
13622	4919	62
59190	28726	62
17719	50997	62
13824	14255	62
13905	14134	62
13933	13874	62
14185	13809	62
14201	13881	62
13793	14141	62
13850	14242	62
13869	14223	62
13900	13856	62
14134	36151	62
13822	14248	62
13885	14212	62
13803	14262	62
13844	14134	62
28727	38198	62
21303	37686	62
8759	51765	62
13859	13933	62
13899	14211	62
13878	14647	62
13867	14239	62
13856	14174	62
13861	14233	62
13878	19511	62
13961	14245	62
13848	14244	62
13785	14319	62
13870	14133	62
13815	14202	62
13878	14224	62
13906	14222	62
13869	14287	62
13914	14190	62
13874	14197	62
13878	17719	62
13881	14244	62
13848	14180	62
13895	14280	62
13839	14203	62
13855	14241	62
13920	14234	62
13883	14133	62
55607	61237	62
57143	11318	62
13887	14251	62
13863	13906	62
14134	13869	62
14287	13907	62
13867	14234	62
13801	14165	62
13898	14255	62
13852	14280	62
13892	14134	62
13880	14300	62
13859	14269	62
13878	24631	62
39478	3382	62
15159	36406	62
14391	36662	62
13832	14200	62
13927	14290	62
13861	14233	62
13878	21303	62
30262	12855	62
13877	59703	62
21814	13898	62
13879	14134	62
7223	51254	62
15926	18999	62
13827	14305	62
13867	14237	62
13900	14245	62
13902	14215	62
13858	13887	62
13915	14165	62
13848	14176	62
13843	14134	62
9527	39221	62
13857	13874	62
14275	13900	62
13917	14232	62
13884	14270	62
13908	14286	62
13904	14221	62
13860	14134	62
823	57654	62
19255	36662	62
13933	14253	62
13818	14193	62
13804	14201	62
13910	14194	62
13841	14244	62
13895	14231	62
13959	14201	62
13898	14296	62
13896	14171	62
13840	14234	62
13887	14134	62
21558	25655	62
44854	12855	62
34102	16183	62
13823	14202	62
13878	13878	62
27959	44342	62
1591	21302	62
13851	14212	62
13839	14235	62
13881	14253	62
13860	14300	62
13795	14293	62
13935	14216	62
13923	14199	62
13878	16183	62
13845	14280	62
13869	14234	62
13811	14179	62
13890	14133	62
65335	31286	62
13859	14134	62
1590	13918	62
14158	13863	62
13850	14254	62
13878	14647	62
44342	22583	62
31798	8247	62
52534	13935	62
14216	13917	62
13878	5431	62
36150	8503	62
13824	14194	62
13846	14133	62
62262	13890	62
14223	13770	62
14170	13883	62
14213	13878	62
13865	14257	62
13850	14204	62
13929	14237	62
13842	13912	62
14204	13840	62
14210	13851	62
13878	14177	62
13817	14247	62
13887	14212	62
13878	55	62
29237	58422	62
13813	14180	62
13867	14133	62
13911	14270	62
13622	12855	62
13886	14229	62
13860	14174	62
13854	14262	62
13847	14297	62
13914	14224	62
13839	13878	62
13878	13879	62
13838	14133	62
13882	14134	62
16183	13889	62
13896	13621	62
13822	14231	62
13895	14256	62
13864	14326	62
13877	63031	62
52278	7991	62
13889	14252	62
13837	14197	62
